DISTRICT,DISTRICT_NAME,SCHOOL,SCHOOL_NAME_SHORT,MAILING_ADDRESS1,MAILING_ADDRESS2,MAILING_CITY,MAILING_STATE,ZIP,MAILING_ZIP,PRINCIPAL_LAST,PRINCIPAL_FIRST,PRINCIPAL_MI,PRINCIPAL_TITLE,GRADE_CODE,TYPE,CHARTER_SCHL_STAT,SCHL_FUNC_SETTING,PRIMARY_SERV_TYPE,NEG_DEL_IND,MAGNET_STATUS,MAGNET_SPECIALTY,MAGNET_PURPOSE
1,ALACHUA     ,1011,ALACHUA LEARNING ACADEMY MIDDLE              ,PO BOX 1389                             ,                                        ,ALACHUA             ,FL,32616,32616-1389,RIVERA                        ,KRISHNA             , ,MS.                                               ,'6-8                           ,Middle/Junior                           ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER   ,3436 NE 39TH AVE                        ,                                        ,GAINESVILLE         ,FL,32609,32609-2638,LEWIS                         ,EMMA                , ,MS.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,Department of Juvenile Justice (DJJ)              ,Alternative Education                             ,"Delinquent, Residential                           ",Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED)  ,2802 NE 8TH AVE                         ,                                        ,GAINESVILLE         ,FL,32641,32641-4836,STEFANSEN                     ,EDWIN               , ,MR.                                               ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Virtual Instruction Program                       ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,7001,ALACHUA VIRTUAL INSTRUCTION PROGRAM          ,2802 NE 8TH AVE                         ,                                        ,GAINESVILLE         ,FL,32641,32641-4836,STEFANSEN                     ,EDWIN               , ,MR.                                               ,'K-12                          ,Combination Elementary & Secondary      ,Not a charter school                              ,Virtual Instruction Program                       ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,603,AMIKIDS                                      ,6815 SW ARCHER RD                       ,                                        ,GAINESVILLE         ,FL,32608,32608-4720,THOMAS                        ,MARTERRICUS         , ,MR.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,Department of Juvenile Justice (DJJ)              ,Alternative Education                             ,"Delinquent, Non-residential                       ",Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,171,ARCHER ELEMENTARY                            ,14533 SW 170TH ST                       ,                                        ,ARCHER              ,FL,32618,32618-4621,HARTWELL                      ,ELIZABETH           , ,MS.                                               ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Academically Talented                             ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,1012,BOULWARE SPRINGS CHARTER                     ,1303 NE 23RD AVE                        ,                                        ,GAINESVILLE         ,FL,32609,32609,ABBITT                        ,KAY                 , ,MS.                                               ,'K-5                           ,Elementary                              ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,541,C. W. NORTON ELEMENTARY SCHOOL               ,2200 NW 45TH AVE                        ,                                        ,GAINESVILLE         ,FL,32605,32605-1331,MAYO                          ,ELENA               , ,MRS.                                              ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,953,CARING & SHARING LEARNING SCHOOL             ,1951 SE 4TH ST                          ,                                        ,GAINESVILLE         ,FL,32641,32641-8718,PETERSON                      ,CURTIS              , ,MR.                                               ,'PREK-6                        ,Elementary                              ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,31,CAROLYN BEATRICE PARKER ELEMENTARY           ,1912 NW 5TH AVE                         ,                                        ,GAINESVILLE         ,FL,32603,32603-1517,JONES                         ,KELLY BRILL         , ,MRS.                                              ,'K-5                           ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,281,CHESTER SHELL ELEMENTARY SCHL                ,21633 SE 65TH AVE                       ,                                        ,HAWTHORNE           ,FL,32640,32640-3518,BURTON                        ,HOLLY               , ,MS.                                               ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,22,EARLY LEARNING ACADEMY AT DUVAL              ,2106 NE 8TH AVE                         ,                                        ,GAINESVILLE         ,FL,32641,32641,ROBBINS                       ,CHRISTIANA          , ,MS.                                               ,'PREK-K                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,421,EASTSIDE HIGH SCHOOL                         ,1201 SE 43RD ST                         ,                                        ,GAINESVILLE         ,FL,32641,32641-7661,ANDREW                        ,SHANE               , ,MR.                                               ,'9-12                          ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,International Baccalaureate                       ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,956,EXPRESSIONS LEARNING ARTS ACAD               ,5408 SW 13TH ST                         ,                                        ,GAINESVILLE         ,FL,32608,32608-5038,DIGIOVANNI                    ,JUNIPER             , ,MS.                                               ,'K-5                           ,Elementary                              ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,431,F. W. BUCHHOLZ HIGH SCHOOL                   ,5510 NW 27TH AVE                        ,                                        ,GAINESVILLE         ,FL,32606,32606-6405,PURVIS                        ,KEVIN               , ,MR.                                               ,'9-12                          ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Career Academy                                    ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,3900,FAMILY EMPOWERMENT SCHOLARSHIP PROGRAM       ,                                        ,                                        ,                    ,  ,     ,          ,                              ,                    , ,OTHER                                             ,'UNASSIGNED                    ,Other Types                             ,Not a charter school                              ,McKay Scholarship                                 ,Other                                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,492,FEARNSIDE FAMILY SERVICES CENTER             ,3600 NE 15TH ST                         ,                                        ,GAINESVILLE         ,FL,32609,32609-2484,STRAPPY                       ,NATALIE             , ,MRS.                                              ,'PREK                          ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,481,FORT CLARKE MIDDLE SCHOOL                    ,9301 NW 23RD AVE                        ,                                        ,GAINESVILLE         ,FL,32606,32606-5115,TABER                         ,JARED               , ,MR.                                               ,'6-8                           ,Middle/Junior                           ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,151,GAINESVILLE HIGH SCHOOL                      ,1900 NW 13TH ST                         ,                                        ,GAINESVILLE         ,FL,32609,32609-3411,SHELNUTT                      ,DAVID               , ,MR.                                               ,'9-12                          ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Academically Talented                             ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,331,GLEN SPRINGS ELEMENTARY SCHOOL               ,2826 NW 31ST AVE                        ,                                        ,GAINESVILLE         ,FL,32605,32605-2241,FEAGIN                        ,DEANNA              , ,MRS.                                              ,'K-5                           ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,201,HAWTHORNE MIDDLE/HIGH SCHOOL                 ,PO BOX 40                               ,                                        ,HAWTHORNE           ,FL,32640,32640-0040,FERGUSON                      ,DANIEL              , ,MR.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL      ,13505 WEST NEWBERRY RD                  ,                                        ,NEWBERRY            ,FL,32669,32669-2752,BORGANELLI                    ,SUZANNE             , ,MS.                                               ,'K-5                           ,Elementary                              ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,482,HIDDEN OAK ELEMENTARY SCHOOL                 ,2100 FORT CLARKE BLVD                   ,                                        ,GAINESVILLE         ,FL,32606,32606-7107,KUHN                          ,JIM                 , ,MR.                                               ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,461,HIGH SPRINGS COMMUNITY SCHOOL                ,1015 N MAIN ST                          ,                                        ,HIGH SPRINGS        ,FL,32643,32643-8904,MCNEILL                       ,LYNN                , ,MRS.                                              ,'PREK-8                        ,Combination Elementary & Secondary      ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,9998,HOME EDUC PROGRAM STUDENTS                   ,                                        ,                                        ,                    ,  ,00000,00000 0000,                              ,                    , ,OTHER                                             ,'UNASSIGNED                    ,Other Types                             ,Not a charter school                              ,Home Education                                    ,Other                                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,82,HOSPITAL HOMEBOUND                           ,1817 E UNIVERSITY AVE                   ,                                        ,GAINESVILLE         ,FL,32641,32641-2629,KIDWELL                       ,DONNA               , ,MS.                                               ,'K-12                          ,Combination Elementary & Secondary      ,Not a charter school                              ,Hospital/Homebound                                ,Special Education                                 ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,121,HOWARD W. BISHOP MIDDLE SCHOOL               ,1901 NE 9TH ST                          ,                                        ,GAINESVILLE         ,FL,32609,32609-3736,GAMBLE                        ,MIKE                , ,MR.                                               ,'6-8                           ,Middle/Junior                           ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Academically Talented                             ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,321,IDYLWILD ELEMENTARY SCHOOL                   ,1700 SE 35TH AVE                        ,                                        ,GAINESVILLE         ,FL,32641,32641,PETERSON                      ,LISA                , ,MRS.                                              ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,111,JOSEPH WILLIAMS ELEM. SCHOOL                 ,1245 SE 7TH AVE                         ,                                        ,GAINESVILLE         ,FL,32641,32641-7151,STOKES                        ,ANYANA              , ,MS.                                               ,'K-5                           ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Academically Talented                             ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,502,KANAPAHA MIDDLE SCHOOL                       ,5005 SW 75TH ST                         ,                                        ,GAINESVILLE         ,FL,32608,32608-4430,ESTES                         ,SHERRY              , ,MS.                                               ,'6-8                           ,Middle/Junior                           ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,501,KIMBALL WILES ELEM. SCHOOL                   ,4601 SW 75TH ST                         ,                                        ,GAINESVILLE         ,FL,32608,32608-4204,MUNN                          ,KATHERINE           , ,MRS.                                              ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,71,LAKE FOREST ELEMENTARY SCHOOL                ,4401 SE 4TH AVE                         ,                                        ,GAINESVILLE         ,FL,32641,32641-7612,LECLEAR                       ,ELIZABETH           , ,DR.                                               ,'K-2                           ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,510,LAWTON M. CHILES ELEM. SCHOOL                ,2525 SCHOOL HOUSE RD                    ,                                        ,GAINESVILLE         ,FL,32608,32608-8645,TOMLINSON                     ,CORY                , ,MR.                                               ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,91,LITTLEWOOD ELEMENTARY SCHOOL                 ,812 NW 34TH ST                          ,                                        ,GAINESVILLE         ,FL,32605,32605-5027,RUSSELL                       ,JUSTIN              , ,MR.                                               ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,341,MARJORIE KINNAN RAWLINGS ELEM                ,3500 NE 15TH ST                         ,                                        ,GAINESVILLE         ,FL,32609,32609-2430,CREAMER                       ,LAURA               , ,MRS.                                              ,'1-5                           ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Performing Arts                                   ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,3518,MCKAY SCHOLARSHIP/SCHOOL OF EN               ,                                        ,                                        ,                    ,  ,00000,00000-0000,                              ,                    , ,OTHER                                             ,'UNASSIGNED                    ,Other Types                             ,Not a charter school                              ,McKay Scholarship                                 ,Other                                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,520,MEADOWBROOK ELEMENTARY SCHOOL                ,11525 NW 39TH AVE                       ,                                        ,GAINESVILLE         ,FL,32606,32606-4906,BURKLEW                       ,BRAD                , ,MR.                                               ,'K-5                           ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,961,MICANOPY  ACADEMY                            ,PO BOX 109                              ,                                        ,MICANOPY            ,FL,32667,32667-0109,LOWE-PHILLIPS                 ,TARA                ,R,MS.                                               ,'6-11                          ,Combination Elementary & Secondary      ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.       ",802 NW SEMINARY AVE                     ,                                        ,MICANOPY            ,FL,32667,32667-8500,MAYNARD                       ,BRENDA              , ,MRS.                                              ,'PREK-5                        ,Elementary                              ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,9997,MIGRANT NON-ENROLLED STUDENTS                ,620 E UNIVERSITY AVE                    ,                                        ,GAINESVILLE         ,FL,32601,32601-5448,NORRIS                        ,NATALIE             , ,MS.                                               ,'UNASSIGNED                    ,Other Types                             ,Not a charter school                              ,Title I Migrant Non-Enrolled Students             ,Other                                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,311,MYRA TERWILLIGER ELEM. SCHOOL                ,301 NW 62ND ST                          ,                                        ,GAINESVILLE         ,FL,32607,32607-2003,ZELLER                        ,ASHLEA              , ,MRS.                                              ,'PREK-5                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,531,NEWBERRY ELEMENTARY SCHOOL                   ,25705 SW 15TH AVE                       ,                                        ,NEWBERRY            ,FL,32669,32669-2554,MCALHANY                      ,CONSTANCE VICTORIA  , ,MRS.                                              ,'PREK-4                        ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,261,NEWBERRY HIGH SCHOOL                         ,400 SW 258TH ST                         ,                                        ,NEWBERRY            ,FL,32669,32669-4112,SHEPPARD                      ,JAMES               , ,MR.                                               ,'9-12                          ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Criminal Justice                                  ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,1003,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL  ,1000 NE 16TH BLVD                       ,BLDG C                                  ,GAINESVILLE         ,FL,32601,32601-4541,STARLING                      ,RANDY               , ,MR.                                               ,'9-12                          ,Senior High                             ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,Alternative Education                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,591,OAK VIEW MIDDLE SCHOOL                       ,1203 SW 250TH ST                        ,                                        ,NEWBERRY            ,FL,32669,32669-5238,ARMSTRONG                     ,KELLY               , ,MR.                                               ,'5-8                           ,Middle/Junior                           ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Academically Talented                             ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,604,PACE                                         ,1010 SE 4TH AVE                         ,                                        ,GAINESVILLE         ,FL,32601,32601-6907,BANNISTER                     ,NATALYA             , ,MS.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,Department of Juvenile Justice (DJJ)              ,Alternative Education                             ,"Delinquent, Non-residential                       ",Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH   ,3000 E UNIVERSITY AVE                   ,                                        ,GAINESVILLE         ,FL,32641,32641-6033,MCELROY                       ,BILL                , ,MR.                                               ,'PREK-12                       ,Combination Elementary & Secondary      ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet School                                     ,Career Academy                                    ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,1013,RESILIENCE CHARTER SCHOOL INC                ,1717 NE 9TH ST                          ,                                        ,GAINESVILLE         ,FL,32609,32609-3738,HILL                          ,JENNIFER            , ,MS.                                               ,'6-8                           ,Middle/Junior                           ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,924,SANTA FE COLLEGE HIGH SCHOOL DUAL ENROLLMENT ,3000 NW 83RD ST                         ,                                        ,GAINESVILLE         ,FL,32606,32606,HOMARD                        ,JEN                 , ,DR.                                               ,'11-12                         ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,271,SANTA FE HIGH SCHOOL                         ,16213 NW US HIGHWAY 441                 ,                                        ,ALACHUA             ,FL,32615,32615-6399,WRIGHT                        ,TIMOTHY             , ,MR.                                               ,'9-12                          ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Career Academy                                    ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,991,SIATECH AT GAINESVILLE                       ,7022 NW 10TH PL                         ,                                        ,GAINESVILLE         ,FL,32605,32605-3147,SCOTT                         ,WILLIAM             ,R,MR.                                               ,'9-12                          ,Senior High                             ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,Alternative Education                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,81,SIDNEY LANIER CENTER                         ,312 NW 16TH AVE                         ,                                        ,GAINESVILLE         ,FL,32601,32601-4205,KAMMAN                        ,ROYCE               ,G,MR.                                               ,'K-12                          ,Combination Elementary & Secondary      ,Not a charter school                              ,Not Applicable                                    ,Alternative Education                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
